,Unnamed: 0,timestamp,agent_id,activity_type,case_id,agent_activity_type
0,0,2014-08-04 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
1,1,2014-08-05 22:00:00,r560752,04_BPT,c10002357,r560752|04_BPT
2,2,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
3,3,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
4,4,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
5,5,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
6,6,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
7,7,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
8,8,2014-08-05 22:00:00,r560752,02_DRZ,c10002357,r560752|02_DRZ
9,9,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
10,10,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
11,11,2014-08-05 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
12,12,2014-08-06 06:37:32,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
13,13,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
14,14,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
15,15,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
16,16,2014-08-18 22:00:00,r1550894,09_AH_I,c10002357,r1550894|09_AH_I
17,17,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
18,18,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
19,19,2014-08-18 22:00:00,r1550894,11_AH_II,c10002357,r1550894|11_AH_II
20,20,2014-08-18 22:00:00,r1550894,13_CRD,c10002357,r1550894|13_CRD
21,21,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
22,22,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
23,23,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
24,24,2014-08-18 22:00:00,r1550894,08_AWB45,c10002357,r1550894|08_AWB45
25,25,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
26,26,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
27,27,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
28,28,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
29,29,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
30,30,2014-08-18 22:00:00,r1550894,01_HOOFD,c10002357,r1550894|01_HOOFD
31,31,2014-08-19 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
32,32,2014-08-19 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
33,33,2014-08-19 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
34,34,2014-08-19 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
35,35,2014-08-19 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
36,36,2014-08-19 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
37,37,2014-08-20 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
38,38,2014-08-20 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
39,39,2014-08-20 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
40,40,2014-08-20 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
41,41,2014-08-20 22:00:00,r560781,01_HOOFD,c10002357,r560781|01_HOOFD
42,42,2014-10-06 22:00:00,r560752,01_BB,c10002357,r560752|01_BB
43,43,2014-10-06 22:00:00,r560752,01_BB,c10002357,r560752|01_BB
44,44,2014-10-06 22:00:00,r560752,01_HOOFD,c10002357,r560752|01_HOOFD
45,45,2014-10-07 09:55:52,r560752,01_BB,c10002357,r560752|01_BB
46,46,2014-08-04 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
47,47,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
48,48,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
49,49,2014-08-05 22:00:00,r560752,02_DRZ,c10003250,r560752|02_DRZ
50,50,2014-08-05 22:00:00,r560752,04_BPT,c10003250,r560752|04_BPT
51,51,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
52,52,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
53,53,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
54,54,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
55,55,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
56,56,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
57,57,2014-08-05 22:00:00,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
58,58,2014-08-06 07:35:43,r560752,01_HOOFD,c10003250,r560752|01_HOOFD
