,case_id,activity_type,timestamp,agent_id,agent_activity_type
0,c10009138,01_HOOFD,2014/04/11 08:00:00.000,r9264148,r9264148|01_HOOFD
1,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
2,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
3,c10009138,02_DRZ,2014/04/14 08:00:00.000,r9264148,r9264148|02_DRZ
4,c10009138,04_BPT,2014/04/14 08:00:00.000,r9264148,r9264148|04_BPT
5,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
6,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
7,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
8,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
9,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
10,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
11,c10009138,01_HOOFD,2014/04/14 08:00:00.000,r9264148,r9264148|01_HOOFD
12,c10009138,01_HOOFD,2014/04/14 17:37:17.000,r9264148,r9264148|01_HOOFD
13,c10009138,08_AWB45,2014/05/20 08:00:00.000,r2670601,r2670601|08_AWB45
14,c10009138,01_HOOFD,2014/05/20 08:00:00.000,r2670601,r2670601|01_HOOFD
15,c10009138,01_HOOFD,2014/05/20 08:00:00.000,r2670601,r2670601|01_HOOFD
16,c10009138,09_AH_I,2014/05/20 08:00:00.000,r2670601,r2670601|09_AH_I
17,c10009138,01_HOOFD,2014/05/20 08:00:00.000,r2670601,r2670601|01_HOOFD
18,c10009138,01_HOOFD,2014/05/20 08:00:00.000,r2670601,r2670601|01_HOOFD
19,c10009138,11_AH_II,2014/05/20 08:00:00.000,r2670601,r2670601|11_AH_II
20,c10009138,13_CRD,2014/05/20 08:00:00.000,r2670601,r2670601|13_CRD
